OBJECTID,左上经度_02,左上纬度_02,右下经度_02,右下纬度_02
264,113.5296931,23.47639287,113.5341704,23.48052387
265,113.5431048,23.16518517,113.5475836,23.1693289
266,113.8931871,23.22326243,113.8976734,23.22741266
267,113.5251896,23.07380131,113.5296664,23.0779461
268,113.4356581,23.59258417,113.4401428,23.59671707
269,113.5969085,23.2689252,113.6013978,23.27307525
270,113.8528602,23.45561806,113.8573408,23.45975441
271,113.8752585,23.33949024,113.8797417,23.34363337
272,113.6418299,23.16098317,113.6463269,23.1651444
273,113.3547692,23.44758985,113.3592692,23.45174176
274,113.7362769,23.31890374,113.7407692,23.32305558
275,113.1840096,23.30653988,113.1884932,23.31068097
276,113.2602877,23.28570982,113.2647813,23.28986128
277,113.2782542,23.11543669,113.2827509,23.1195969
278,113.0582768,23.26094379,113.062779,23.26510327
279,113.8125313,23.27320605,113.8170117,23.27734877
280,113.4356524,23.50977334,113.440137,23.51390932
281,113.3952354,23.3232389,113.399729,23.32738973
282,113.8932027,23.4638558,113.8976891,23.46799734
283,113.7228246,23.74130471,113.7273193,23.74544305
284,113.2333452,23.29401844,113.237834,23.29816509
285,113.4849246,23.36045258,113.4894014,23.36458715
286,113.3502513,23.186187,113.3547516,23.19034862
287,113.6463495,23.50531627,113.650847,23.50946559
288,113.502841,23.53446345,113.507317,23.53859099
289,113.6013899,23.15264364,113.60588,23.1567986
290,113.3637848,23.68772056,113.3682838,23.69186272
291,113.3952259,23.18624398,113.3997195,23.19039963
292,113.2198775,23.20269736,113.2243642,23.20684523
293,113.5700201,23.65432448,113.5745037,23.65845497
294,113.0267499,23.35215613,113.0312565,23.35631652
295,113.4670264,23.54284619,113.4715051,23.54697577
296,113.8438808,23.15271617,113.8483608,23.15686277
297,113.6238451,23.10278424,113.6283396,23.10694493
298,113.5341673,23.43493985,113.5386451,23.43907284
299,113.7272439,22.61577296,113.7276744,22.61779442
300,114.0056396,23.90242348,114.0101429,23.90656484
301,113.8931981,23.39338955,113.8976845,23.39753368
302,113.4042073,23.12392493,113.408699,23.12808097
303,113.2512907,23.0946446,113.2557827,23.09880108
304,113.5520848,23.49705157,113.5565651,23.50118471
305,113.3412711,23.48900147,113.345772,23.49315264
306,113.574497,23.55913358,113.5789816,23.56326848
307,113.5789659,23.32703476,113.5834513,23.3311791
308,113.4445723,22.81183767,113.4490551,22.81599529
309,113.4087373,23.67948686,113.4132278,23.68362195
310,113.7273072,23.56756758,113.7318011,23.57171166
311,113.7677372,23.81156991,113.7722237,23.8156984
312,113.4401238,23.32321881,113.4446075,23.32736079
313,113.5296681,23.10288782,113.5341454,23.10703205
314,113.4221891,23.44763763,113.4266767,23.45177857
315,113.5969151,23.36850304,113.6014044,23.37264951
316,113.7811654,23.39770371,113.7856496,23.40184532
317,113.6643352,23.42247167,113.6688339,23.42662528
318,113.9560911,23.42660521,113.9605903,23.43076008
319,113.3502434,23.06982715,113.3547436,23.07399265
320,113.0807771,23.26097756,113.0852746,23.26513278
321,113.4356317,23.21114987,113.4401164,23.21529665
322,113.4490863,23.27340634,113.4535681,23.27754848
323,113.61486,23.11524709,113.6193529,23.11940584
324,113.6014212,23.62533964,113.6059113,23.62947749
325,113.2108979,23.07805082,113.2153835,23.08220175
326,113.6463272,23.16929879,113.6508247,23.17346019
327,113.6014047,23.37679656,113.6058948,23.38094361
328,113.3952611,23.69189021,113.3997547,23.69602744
329,113.8483719,23.32708636,113.852852,23.33122711
330,113.175043,23.30240725,113.1795265,23.30654835
331,113.2288506,23.19438087,113.2333387,23.19853032
332,113.5923764,22.59183649,113.5968647,22.59474759
333,113.0672837,23.31906146,113.0717839,23.32321724
334,113.4490726,23.074007,113.4535544,23.07815594
335,113.2647702,23.12374045,113.2692646,23.12789824
336,113.7766818,23.41429123,113.7811668,23.41843289
337,113.5654757,22.71569575,113.5699585,22.7198567
338,113.8573597,23.74532002,113.8618406,23.74944606
339,113.2019492,23.38117496,113.2064338,23.38531445
340,114.028154,23.91487277,114.0326561,23.91901255
341,113.327767,23.46411596,113.3322682,23.46826821
342,113.4042053,23.09483057,113.408697,23.09898757
343,113.3682488,23.1862165,113.3727471,23.1903764
344,113.5924303,23.4182611,113.5969187,23.42240485
345,113.7407712,23.35209443,113.7452627,23.35624433
346,113.7811701,23.46816735,113.7856543,23.47230636
347,113.5834612,23.48043173,113.5879476,23.48457135
348,113.5834686,23.59224091,113.5879551,23.59637637
349,113.8304418,23.14443148,113.8349215,23.14857806
350,113.6373568,23.50944559,113.6418532,23.51359375
351,113.565524,23.4514486,113.5700068,23.45558577
352,113.2827564,23.20268883,113.2872538,23.20684675
353,113.0042141,23.36453232,113.008722,23.36869328
354,113.6238797,23.62534887,113.6283742,23.62949078
355,113.6553307,23.29802834,113.6598289,23.302186
356,113.5834581,23.43484771,113.5879446,23.43898902
357,113.3142472,23.19858053,113.3187478,23.20274186
358,113.3277449,23.14044493,113.332246,23.14460871
359,113.2827618,23.28157312,113.2872591,23.28572828
360,113.6957734,22.65325872,113.7002713,22.65743611
361,113.6688281,23.33954361,113.673327,23.34370039
362,113.7497437,23.21513683,113.7542335,23.2192901
363,113.893199,23.40582798,113.8976853,23.40997165
364,113.1077604,23.48078964,113.112252,23.48493149
365,113.8035661,23.21509656,113.8080473,23.21924202
366,113.5251927,23.11952554,113.5296695,23.12366883
367,113.8349281,23.24825774,113.8394078,23.25240079
368,113.0627821,23.31075539,113.0672834,23.3149123
369,113.1346848,23.33151783,113.1391715,23.33566069
370,113.7363057,23.74545083,113.7407981,23.74958697
371,113.6418449,23.38926687,113.646342,23.39342
372,113.7182918,23.1818858,113.7227871,23.18604513
373,113.2917543,23.24837533,113.2962529,23.25253285
374,113.4580692,23.57184888,113.4625494,23.57597864
375,113.5520898,23.57159239,113.5565701,23.57572277
376,113.7362883,23.48888898,113.7407807,23.49303458
377,113.2378473,23.49304027,113.2423368,23.49718036
378,113.390731,23.1737793,113.3952254,23.17793619
379,113.7497399,23.15698431,113.7542296,23.16113957
380,113.5968706,22.68648665,113.6013599,22.69065461
381,113.2109105,23.26499097,113.2153961,23.26913555
