id,lat_min,lng_min,lat_max,lng_max,status,roadNum,statusCode
235,23.50553752,113.3232691,23.50968814,113.3277701,?,?,0
236,23.59655391,113.7407877,23.60069479,113.7452793,?,?,0
237,23.11110586,113.5744674,23.11525681,113.5789519,1,4,0
238,23.39775377,113.2064346,23.40189307,113.2109197,1,4,0
239,22.93247913,113.3097291,22.93664875,113.3142295,?,?,0
240,23.33966307,113.2288604,23.34380739,113.2333485,1,5,0
241,23.55102617,113.2333626,23.55516339,113.2378515,?,?,0
242,23.37268844,113.5610373,23.37682769,113.5655191,?,?,0
243,23.35224715,113.1436584,23.35638818,113.1481438,1,7,0
244,23.50132861,113.2333592,23.50546766,113.2378481,1,1,0
245,23.11127099,113.260276,23.11542846,113.2647696,2,8,0
246,23.40617382,113.1302029,23.41031459,113.1346902,?,?,0
247,23.1778285,113.3232467,23.18199092,113.3277477,1,2,0
248,23.54688049,113.7587443,23.55102016,113.7632325,?,?,0
249,23.28969435,113.8797382,23.29383994,113.8842221,1,1,0
250,23.07398926,113.458035,23.07813676,113.4625152,?,?,0
251,23.33567847,113.0852794,23.33983012,113.0897758,1,4,0
252,23.33547167,113.7990927,23.3396133,113.8035744,?,?,0
253,23.50546513,113.2423374,23.5096055,113.2468278,1,1,0
254,23.60068873,113.5073212,23.60481383,113.5117972,?,?,0
255,23.30633305,113.5520721,23.31047319,113.5565524,?,?,0
256,22.99502802,113.4131802,22.99918641,113.4176698,1,7,0
257,23.40168912,113.628359,23.40584003,113.6328543,?,?,0
258,23.45971195,113.8932025,23.46385364,113.8976888,?,?,0
259,23.37269702,113.5565565,23.37683549,113.5610376,?,?,0
260,23.29829045,113.1571087,23.30243226,113.1615929,?,?,0
261,22.86590892,113.4759367,22.87006052,113.4804145,1,5,0
262,23.53435238,113.8394264,23.53848509,113.8439062,?,?,0
263,23.31059013,113.7901267,23.31473368,113.7946094,?,?,0
264,23.47639287,113.5296931,23.48052387,113.5341704,?,?,0
265,23.16518517,113.5431048,23.1693289,113.5475836,?,?,0
266,23.22326243,113.8931871,23.22741266,113.8976734,?,?,0
267,23.07380131,113.5251896,23.0779461,113.5296664,1,4,0
268,23.59258417,113.4356581,23.59671707,113.4401428,?,?,0
269,23.2689252,113.5969085,23.27307525,113.6013978,?,?,0
270,23.45561806,113.8528602,23.45975441,113.8573408,?,?,0
271,23.33949024,113.8752585,23.34363337,113.8797417,?,?,0
272,23.16098317,113.6418299,23.1651444,113.6463269,1,4,0
273,23.44758985,113.3547692,23.45174176,113.3592692,1,3,0
274,23.31890374,113.7362769,23.32305558,113.7407692,?,?,0
275,23.30653988,113.1840096,23.31068097,113.1884932,1,4,0
276,23.28570982,113.2602877,23.28986128,113.2647813,1,1,0
277,23.11543669,113.2782542,23.1195969,113.2827509,1,15,0
278,23.26094379,113.0582768,23.26510327,113.062779,1,1,0
279,23.27320605,113.8125313,23.27734877,113.8170117,1,6,0
280,23.50977334,113.4356524,23.51390932,113.440137,?,?,0
281,23.3232389,113.3952354,23.32738973,113.399729,1,3,0
282,23.4638558,113.8932027,23.46799734,113.8976891,?,?,0
283,23.74130471,113.7228246,23.74544305,113.7273193,1,1,0
284,23.29401844,113.2333452,23.29816509,113.237834,?,?,0
285,23.36045258,113.4849246,23.36458715,113.4894014,?,?,0
286,23.186187,113.3502513,23.19034862,113.3547516,1,1,0
287,23.50531627,113.6463495,23.50946559,113.650847,?,?,0
288,23.53446345,113.502841,23.53859099,113.507317,1,1,0
289,23.15264364,113.6013899,23.1567986,113.60588,?,?,0
290,23.68772056,113.3637848,23.69186272,113.3682838,?,?,0
291,23.18624398,113.3952259,23.19039963,113.3997195,1,1,0
292,23.20269736,113.2198775,23.20684523,113.2243642,2,13,0
293,23.65432448,113.5700201,23.65845497,113.5745037,?,?,0
294,23.35215613,113.0267499,23.35631652,113.0312565,?,?,0
295,23.54284619,113.4670264,23.54697577,113.4715051,1,2,0
296,23.15271617,113.8438808,23.15686277,113.8483608,?,?,0
297,23.10278424,113.6238451,23.10694493,113.6283396,?,?,0
298,23.43493985,113.5341673,23.43907284,113.5386451,?,?,0
299,22.61577296,113.7272439,22.61779442,113.7276744,?,?,0
300,23.90242348,114.0056396,23.90656484,114.0101429,?,?,0
301,23.39338955,113.8931981,23.39753368,113.8976845,?,?,0
302,23.12392493,113.4042073,23.12808097,113.408699,2,9,0
303,23.0946446,113.2512907,23.09880108,113.2557827,2,12,0
304,23.49705157,113.5520848,23.50118471,113.5565651,1,4,0
305,23.48900147,113.3412711,23.49315264,113.345772,?,?,0
306,23.55913358,113.574497,23.56326848,113.5789816,1,2,0
307,23.32703476,113.5789659,23.3311791,113.5834513,1,5,0
308,22.81183767,113.4445723,22.81599529,113.4490551,1,1,0
309,23.67948686,113.4087373,23.68362195,113.4132278,?,?,0
310,23.56756758,113.7273072,23.57171166,113.7318011,?,?,0
311,23.81156991,113.7677372,23.8156984,113.7722237,1,1,0
312,23.32321881,113.4401238,23.32736079,113.4446075,1,1,0
313,23.10288782,113.5296681,23.10703205,113.5341454,1,1,0
314,23.44763763,113.4221891,23.45177857,113.4266767,1,6,0
315,23.36850304,113.5969151,23.37264951,113.6014044,1,2,0
316,23.39770371,113.7811654,23.40184532,113.7856496,1,2,0
317,23.42247167,113.6643352,23.42662528,113.6688339,1,1,0
318,23.42660521,113.9560911,23.43076008,113.9605903,?,?,0
319,23.06982715,113.3502434,23.07399265,113.3547436,3,4,0
320,23.26097756,113.0807771,23.26513278,113.0852746,1,1,0
321,23.21114987,113.4356317,23.21529665,113.4401164,?,?,0
322,23.27340634,113.4490863,23.27754848,113.4535681,?,?,0
323,23.11524709,113.61486,23.11940584,113.6193529,1,6,0
324,23.62533964,113.6014212,23.62947749,113.6059113,?,?,0
325,23.07805082,113.2108979,23.08220175,113.2153835,1,3,0
326,23.16929879,113.6463272,23.17346019,113.6508247,?,?,0
327,23.37679656,113.6014047,23.38094361,113.6058948,?,?,0
328,23.69189021,113.3952611,23.69602744,113.3997547,?,?,0
329,23.32708636,113.8483719,23.33122711,113.852852,1,1,0
330,23.30240725,113.175043,23.30654835,113.1795265,?,?,0
331,23.19438087,113.2288506,23.19853032,113.2333387,1,1,0
332,22.59183649,113.5923764,22.59474759,113.5968647,?,?,0
333,23.31906146,113.0672837,23.32321724,113.0717839,1,3,0
334,23.074007,113.4490726,23.07815594,113.4535544,?,?,0
335,23.12374045,113.2647702,23.12789824,113.2692646,1,9,0
336,23.41429123,113.7766818,23.41843289,113.7811668,?,?,0
337,22.71569575,113.5654757,22.7198567,113.5699585,1,1,0
338,23.74532002,113.8573597,23.74944606,113.8618406,?,?,0
339,23.38117496,113.2019492,23.38531445,113.2064338,1,9,0
340,23.91487277,114.028154,23.91901255,114.0326561,1,1,0
341,23.46411596,113.327767,23.46826821,113.3322682,?,?,0
342,23.09483057,113.4042053,23.09898757,113.408697,?,?,0
343,23.1862165,113.3682488,23.1903764,113.3727471,2,3,0
344,23.4182611,113.5924303,23.42240485,113.5969187,?,?,0
345,23.35209443,113.7407712,23.35624433,113.7452627,1,1,0
346,23.46816735,113.7811701,23.47230636,113.7856543,?,?,0
347,23.48043173,113.5834612,23.48457135,113.5879476,?,?,0
348,23.59224091,113.5834686,23.59637637,113.5879551,1,1,0
349,23.14443148,113.8304418,23.14857806,113.8349215,1,2,0
350,23.50944559,113.6373568,23.51359375,113.6418532,?,?,0
351,23.4514486,113.565524,23.45558577,113.5700068,?,?,0
352,23.20268883,113.2827564,23.20684675,113.2872538,3,7,0
353,23.36453232,113.0042141,23.36869328,113.008722,1,2,0
354,23.62534887,113.6238797,23.62949078,113.6283742,?,?,0
355,23.29802834,113.6553307,23.302186,113.6598289,?,?,0
356,23.43484771,113.5834581,23.43898902,113.5879446,1,2,0
357,23.19858053,113.3142472,23.20274186,113.3187478,1,1,0
358,23.14044493,113.3277449,23.14460871,113.332246,2,9,0
359,23.28157312,113.2827618,23.28572828,113.2872591,1,5,0
360,22.65325872,113.6957734,22.65743611,113.7002713,?,?,0
361,23.33954361,113.6688281,23.34370039,113.673327,?,?,0
362,23.21513683,113.7497437,23.2192901,113.7542335,?,?,0
363,23.40582798,113.893199,23.40997165,113.8976853,?,?,0
364,23.48078964,113.1077604,23.48493149,113.112252,?,?,0
365,23.21509656,113.8035661,23.21924202,113.8080473,?,?,0
366,23.11952554,113.5251927,23.12366883,113.5296695,1,6,0
367,23.24825774,113.8349281,23.25240079,113.8394078,1,2,0
368,23.31075539,113.0627821,23.3149123,113.0672834,1,4,0
369,23.33151783,113.1346848,23.33566069,113.1391715,?,?,0
370,23.74545083,113.7363057,23.74958697,113.7407981,?,?,0
371,23.38926687,113.6418449,23.39342,113.646342,?,?,0
372,23.1818858,113.7182918,23.18604513,113.7227871,?,?,0
373,23.24837533,113.2917543,23.25253285,113.2962529,1,9,0
374,23.57184888,113.4580692,23.57597864,113.4625494,?,?,0
375,23.57159239,113.5520898,23.57572277,113.5565701,1,2,0
376,23.48888898,113.7362883,23.49303458,113.7407807,1,1,0
377,23.49304027,113.2378473,23.49718036,113.2423368,1,4,0
378,23.1737793,113.390731,23.17793619,113.3952254,?,?,0
379,23.15698431,113.7497399,23.16113957,113.7542296,1,2,0
380,22.68648665,113.5968706,22.69065461,113.6013599,?,?,0
381,23.26499097,113.2109105,23.26913555,113.2153961,1,9,0
382,23.36037247,113.5117806,23.36450657,113.5162568,1,1,0
383,23.31492501,113.0762825,23.31907921,113.080781,1,1,0
384,23.37701604,113.3007601,23.38116994,113.3052597,1,6,0
