id,population,num_zhuzhai,fangjia,zujin,shoujia,RoadDensity,RoadNum1,2RoadStatus,gonggong,tingchechang,yiyuan,gongyuan,shangchang,tuoyujigou
92,587.4189453,0,16047.48976,49.74432216,42806.41769,8.541589874,2,1,0,3,0,0,0,0
93,19.1524868,0,12018.71385,102.197939,9576.15895,2.196631519,0,0,0,0,0,0,0,0
94,103.2959595,0,15308.17136,71.11293551,26717.53835,6.768057767,0,0,0,0,0,0,0,0
95,36.74573135,0,12157.32094,74.34647049,20825.15945,3.160932823,1,1,0,0,0,0,0,0
96,117.2253571,0,25266.90786,112.3383529,12905.09472,23.27157345,2,1,0,0,0,0,0,0
97,3.877195835,0,23437.30817,68.54523264,15241.44462,8.940743122,5,1,0,0,0,0,0,0
98,6199.201172,1,40339.03459,1201.50609,39610.15076,76.65541886,5,3,0,1,1,1,0,0
99,347.976532,0,23283.60032,68.76346541,27843.10612,14.67577322,0,0,0,0,0,0,0,0
100,5.761808395,0,22300.34918,74.00804366,17376.53335,0,0,0,0,0,0,0,0,0
101,52.6580658,0,16575.89892,51.77968306,19818.14684,2.284916032,0,0,0,0,0,0,0,0
102,93.02579498,0,16468.57856,15.8317454,22133.67641,28.52538646,7,1,0,0,0,0,0,0
103,65.49425507,0,16430.77241,76.18520078,19222.6429,0,0,0,0,0,0,0,0,0
104,81.79929352,0,9551.378341,37.72466751,24387.58816,11.0776882,1,1,0,0,0,0,0,0
105,6316.585449,1,11306.70431,70.90288699,41665.59971,8.970396802,3,1,0,0,0,0,0,0
106,312.0053101,0,15780.15001,46.45032412,25578.12369,0,0,0,0,0,0,0,0,0
107,38.44644928,0,15549.8282,76.03124979,13968.79524,0,0,0,0,0,0,0,0,0
108,135.4253998,0,25176.82543,50.79462251,186507.4448,19.87769105,3,1,1,0,0,0,1,0
109,157.5821686,0,17172.86801,78.51332687,13711.17932,2.767397981,0,0,0,0,0,0,0,0
110,1.253477693,0,17263.90069,61.59656491,25215.06297,2.445726371,0,0,0,0,0,0,0,0
111,428.73349,0,23829.83617,97.13164078,17562.7141,27.44933885,4,1,0,0,0,0,0,0
112,16.67509651,0,14875.0154,92.39941607,12062.57812,0,0,0,0,0,0,0,0,0
113,173.9892731,0,9234.607924,86.17602232,10188.53534,1.677803541,1,1,0,0,0,0,0,0
114,506.4368286,0,11985.567,64.27468148,90198.30624,8.045967478,2,1,1,0,0,0,0,0
115,419.2913818,0,9621.789437,132.8940613,10394.06158,13.52091938,4,1,0,0,0,0,0,0
116,192.4841766,0,24583.68142,48.15403367,25569.74999,0,0,0,0,0,0,0,0,0
117,3.307763815,0,21253.00966,66.91663603,14999.08559,6.323042896,0,0,0,0,0,0,0,0
118,22.05145454,0,16367.5343,70.23651999,20752.17085,1.628715969,0,0,0,0,0,0,0,0
