id,population,num_zhuzhai,fangjia,zujin,shoujia,RoadDensity,RoadNum1,2RoadStatus,gonggong,tingchechang,yiyuan,gongyuan,shangchang,tuoyujigou
4069,7090.733887,4,34075.95035,110.1461734,48333.61792,19.19635704,1,3,1,0,1,0,1,1
4078,936.3082275,3,41576.01707,59.39438412,33163.7994,71.33814037,4,1,0,0,0,0,0,1
4091,4462.635742,27,51617.02633,346.0006557,72967.50767,9.936512173,2,1,0,0,0,0,0,1
4095,2151.860352,5,31291.54753,86.94120571,54424.99276,88.72278431,7,1,0,0,0,0,0,1
4116,2971.700439,27,62791.68678,289.6176258,116519.9493,34.3870127,0,0,0,5,2,1,0,1
4141,570.9765625,3,32677.12607,144.6148279,14674.99963,18.74429191,0,0,0,0,0,0,0,1
4155,469.039093,0,30558.11272,270.1757941,78747.28814,11.06464313,2,1,0,0,0,0,0,1
4165,3628.764648,2,13298.42815,69.9604732,21356.50642,4.641954715,6,1,1,3,0,0,1,1
4187,420.7053528,7,49147.22386,232.5583319,46690.67257,10.71391906,4,1,0,0,0,0,0,1
4202,181.8800659,0,13798.43075,58.91032669,25015.13232,10.91792334,0,0,0,0,0,0,0,1
4226,316.5446472,0,33040.45393,189.5239888,50489.34047,41.39547606,3,3,0,0,0,0,0,1
4229,569.8870239,18,13709.90157,53.18455431,89550.6788,14.61979661,3,1,0,1,0,0,1,1
4243,3921.3396,0,64362.30303,186.9863449,79025.28191,6.243906268,1,1,0,6,0,1,0,1
4301,629.9765015,3,11255.93771,69.9862254,37879.95392,6.818165117,1,1,0,0,0,1,0,1
4318,4134.842285,19,42442.30185,170.2845885,43215.92994,70.56092316,2,1,0,0,0,0,0,1
4347,9489.28125,7,78013.9804,754.7996334,83313.42244,193.6136978,4,1,2,0,0,0,1,1
4353,2660.788574,14,56482.00253,184.6251644,91409.12269,51.22988339,4,3,0,1,0,0,0,1
4418,2409.243408,20,36061.98664,295.3683924,46165.90289,162.5029443,3,3,0,0,0,3,0,1
4421,1583.611328,35,65914.33281,149.4203467,121164.6206,59.30459712,4,3,1,0,0,0,0,1
4452,3721.160645,6,37273.15846,134.0928207,66689.31091,25.60797937,1,1,1,0,0,0,0,1
4458,1171.627197,1,26634.07325,72.53313562,27524.06721,70.41328826,8,1,0,12,0,0,0,1
4526,218.1269989,6,33682.43416,209.1776451,27844.35012,89.53238368,4,2,0,0,0,1,0,1
4551,360.5916748,3,17310.46509,52.64067265,22717.41582,14.7940472,3,1,0,1,0,0,0,1
4578,7443.749023,7,27691.73438,464.0860673,72752.65058,155.976562,5,2,5,10,0,0,2,1
4582,14152.11328,7,20729.59859,63.52594325,22114.18625,91.37924756,5,2,4,0,0,0,0,1
4600,866.7072144,3,42373.70649,187.9175054,37804.18636,52.0722101,11,1,0,4,0,0,0,1
4633,1583.971436,4,49501.81726,1152.449332,32349.34045,40.70315778,3,1,2,1,0,0,0,1
4658,5626.001953,21,73490.77974,190.3017625,179022.7583,15.58094974,2,1,0,2,0,0,0,1
4704,3035.348145,0,29461.62608,69.97112349,42260.84326,121.922559,3,2,2,6,0,0,0,1
4708,1426.858398,0,32013.57782,120.2703927,29651.79508,123.7991906,5,2,4,11,0,0,6,1
4757,1355.505005,0,34542.60239,74.32072937,49041.34769,15.33245831,0,0,0,0,0,0,0,1
4796,1043.991089,0,17700.32777,51.25848619,25073.20474,10.24411082,5,1,1,0,0,0,0,1
4846,9510.977539,23,52370.57005,140.4226527,137510.9179,206.2724219,12,2,0,1,0,3,1,1
4876,880.2050781,0,36837.01782,120.1176019,6286.633536,4.565670971,1,1,1,0,0,0,0,1
4902,231.4072571,1,20751.30429,107.4186012,463735.6753,7.667820401,0,0,0,0,0,0,0,1
4947,4196.756836,0,82707.0538,159.6554684,88739.84436,125.8464093,11,1,4,14,0,0,2,1
4951,1506.034912,3,40034.70416,59.12557085,93556.97155,16.37471175,0,0,0,1,0,0,0,1
