id,center_lat,center_lng,bd_lat,bd_lng
104,23.17978937,113.8058042,23.18554144,113.8123723
105,23.37906771,113.2266195,23.38474463,113.233168
106,23.22130674,113.8147679,23.22697775,113.8213336
107,23.49924383,113.7340427,23.50531193,113.7405106
108,22.76374754,113.5139787,22.77006757,113.5203952
109,23.26271389,113.6305973,23.26901114,113.6370204
110,23.30431859,113.9808351,23.31050617,113.9873163
111,23.27933617,113.5632718,23.28511788,113.5698158
112,23.64414159,113.7430366,23.65035772,113.7494961
113,23.60261455,113.5632934,23.60839234,113.5698207
114,22.79312117,113.4154112,22.79935514,113.421857
115,23.43312584,113.4289186,23.43914909,113.4354339
116,23.12734261,113.7654476,23.13366617,113.7718616
117,23.72266222,113.8148014,23.72832956,113.8213518
118,23.49086596,113.8371839,23.49664957,113.8437082
119,23.50747304,113.693581,23.51314857,113.7001356
120,23.21306543,113.276013,23.21939931,113.2824518
121,23.64427073,113.3525329,23.65000221,113.3590934
123,23.34983868,113.6081382,23.35580352,113.6146354
124,23.12584155,113.218081,23.1314997,113.2246309
125,23.14659392,113.2535401,23.15265395,113.2600146
126,23.77233207,114.0078823,23.77864783,114.0143288
127,23.81345523,113.9134205,23.81939573,113.9199398
128,23.53640376,113.5498478,23.54240955,113.5563621
129,23.10926113,113.4826691,23.11513178,113.4891859
130,23.43723715,113.0605398,23.44340214,113.0670246
131,23.33775073,113.3839992,23.3439788,113.3904547
132,23.59448473,113.2580625,23.60062114,113.26452
133,23.43708566,113.7295452,23.4430813,113.7360651
134,23.35003144,113.231105,23.35574555,113.2376537
135,23.09271819,113.3659931,23.09864884,113.3725148
136,23.43700045,113.6755826,23.44290595,113.6821211
137,23.27966014,113.428908,23.28567951,113.4354037
138,23.08858912,113.424408,23.09468958,113.430899
139,23.31665396,113.6171196,23.32278188,113.6236125
140,23.52806613,113.5857074,23.53374214,113.5922829
141,23.47019958,113.8103042,23.47589915,113.8168558
142,23.01356361,113.2670099,23.01982388,113.273437
143,23.87546785,113.8461686,23.88139883,113.8526783
144,23.27102529,113.8730129,23.27734249,113.8794388
145,23.61115454,113.4647915,23.61682073,113.4713406
146,23.68155236,113.397507,23.68789302,113.4039527
147,23.39137043,113.8506161,23.39737969,113.8571053
148,23.3085065,113.79685,23.31439066,113.8033941
149,23.16318592,113.7968403,23.16906691,113.8033679
150,23.45351718,113.9403532,23.45917676,113.9469301
151,23.65257411,113.4423884,23.65837101,113.4489432
152,23.49512226,113.5006005,23.50129779,113.5070445
153,23.50760173,113.1907484,23.51358597,113.1972393
154,23.44532003,113.5274528,23.45163782,113.5339014
155,23.39155314,113.195224,23.39745968,113.2017346
156,23.82601578,113.7834363,23.83212953,113.7899062
157,23.25041348,113.7250387,23.25632184,113.731537
159,23.2835537,113.8282113,23.28924404,113.8347784
160,23.64431229,113.4334191,23.65025261,113.4399361
161,23.18821736,113.3254978,23.19397477,113.3320678
162,23.17149126,113.7115474,23.17721286,113.7181157
163,23.20476637,113.2266077,23.21044969,113.2331872
164,23.35838481,113.1907382,23.36436837,113.1972248
165,23.22542703,113.5363921,23.23164857,113.5428411
166,23.33331586,113.9628337,23.33919194,113.9693661
167,23.37905983,113.2355953,23.38482363,113.2421259
169,23.44521618,113.8819902,23.45155879,113.8884339
170,23.16727358,113.6755647,23.1731771,113.6820919
171,22.67190995,113.5766809,22.67757274,113.5832398
172,23.20110131,113.895103,23.20734495,113.9015704
173,23.77630214,113.9448704,23.78197444,113.9514542
174,22.64687777,113.603602,22.65276186,113.610105
175,23.51995743,113.7385365,23.52610491,113.745006
176,23.85488839,113.8103302,23.86058583,113.8168738
177,23.3211644,113.1099951,23.32687386,113.116572
178,23.22550175,113.725037,23.23141295,113.7315493
179,23.30040437,113.3795004,23.3065702,113.3859842
180,23.24216164,113.2086665,23.24787639,113.2152063
181,23.08416384,113.5363827,23.09038957,113.5428519
182,23.56144787,113.3255234,23.56720433,113.3320909
183,23.27126216,113.3255035,23.27701373,113.3320455
184,23.12577895,113.5184788,23.13211453,113.5248905
185,23.08008376,113.5095239,23.08637777,113.5159817
